174,402,468,1318,1363,2940,2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,241,297,321,1337,1374,1466,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,258,307,353,396,435,485,529,583,630,678,774,819,865,917,967,1017,1072,1129,1244,1262,1427,1471,1523,1538,1579,1591,1633,1644,1688,1743,1801,1820,1863,1876,1923,1939,1981,1994,2047,2055,2120,2168,2183,2224,2289,2304,2353,2411,2424,2470,2484,2530,2582,2594,2640,2654,2696,2710,2751,2762,2809,2821,2871,2929,2983,3037,3083,3139,,,,,,,,,
124,245,370,620,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,328,365,415,458,504,555,603,655,696,749,796,845,892,942,996,1046,1101,1160,1220,1283,1338,1453,1515,1568,1623,1675,1731,1785,1847,1912,1966,2033,2088,2151,2215,2281,2346,2407,2576,2691,2747,2805,2869,2981,3035,3085,3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,499,616,738,857,1120,2103,2408,2683,2969,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,348,401,455,513,579,825,886,950,1008,1079,1221,1297,1434,1500,1634,1709,1775,1853,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,382,432,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,403,445,533,586,631,677,772,817,862,912,961,1009,1068,1124,1182,1237,1296,1346,1406,1517,1566,1622,1670,1723,1777,1839,1898,1954,2018,2076,2135,2197,2255,2322,2375,2434,2550,2826,2887,2942,3052,3096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,440,521,602,632,662,688,709,736,767,790,820,851,899,929,957,1047,1077,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,301,389,480,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,510,572,622,660,685,707,731,768,792,881,903,935,993,1024,1060,1222,1256,1289,1325,2265,2307,2347,2376,2415,2445,2483,2514,2546,2578,2611,2645,2678,2711,2741,2775,2812,2848,2878,2909,2944,2978,3012,3040,3066,3095,3129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,725,826,871,921,973,1030,1135,1196,1260,1317,1377,1429,1487,1651,1710,1761,1826,1882,1943,2064,2190,2379,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,1783,1908,2090,2279,2345,2401,2459,2520,2575,2629,2690,2865,2926,3036,3084,3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,606,661,699,799,894,997,1048,1099,1157,1215,1277,1331,1392,1445,1499,1663,1718,1773,1893,1952,2016,2072,2134,2256,2325,2380,2441,2501,2559,2614,2670,2779,2843,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,515,575,627,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,744,788,878,918,964,1005,1064,1103,1150,1201,1258,1311,1361,1411,1459,1508,1556,1602,1655,1699,1750,1803,1857,1913,1960,2015,2066,2122,2175,2230,2287,2344,2447,2502,2552,2854,2900,2955,3006,3050,3091,3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,773,795,818,846,864,890,916,968,994,1018,1045,1073,1132,1158,1192,1216,1248,1280,1332,1369,1393,1424,1449,1478,1501,1530,1562,1586,1640,1696,1724,1752,1781,1812,1842,1871,1905,1931,1963,1992,2026,2053,2083,2116,2141,2180,2208,2240,2270,2303,2334,2365,2392,2457,2716,,,,,,,,,,,,,,,,,,,,,,
895,949,1000,1106,1168,1219,1282,1333,1394,1448,1504,1560,1618,1672,1730,1784,1848,1907,1965,2027,2086,2145,2213,2272,2335,2398,2458,2516,2572,2627,2687,2742,2801,2862,2918,2976,3033,3079,3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,959,1185,1247,1348,1512,1537,1573,1661,1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,1105,1263,1313,1364,1415,1462,1514,1601,1650,1698,1745,1796,1854,1956,2010,2062,2121,2227,2284,2340,2387,2442,2497,2544,2593,2647,2695,2743,2794,2850,2947,2996,3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1151,1202,1259,1362,1412,1557,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,1367,1408,1444,1483,1525,1570,1646,1993,2044,2084,2129,2176,2223,2262,2315,2360,2406,2448,2493,2534,2577,2619,2665,2704,2744,2786,2831,2875,2915,2963,3007,3043,3074,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,1452,1564,1782,1902,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,1657,1978,2147,2793,2951,3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,928,979,1228,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,1454,1516,1565,1621,1671,1725,1900,2017,2075,2132,2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,539,1522,1581,1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,1749,1780,1869,1989,2024,2082,2115,2206,2268,2298,2363,2390,2422,2485,2515,2540,2626,2657,2768,2796,2859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,1660,1689,1716,1742,1770,1797,1831,1861,1922,1977,2007,2063,2095,2125,2154,2185,2216,2246,2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,1685,1776,1823,1872,1917,1969,2008,2061,2163,2202,2257,2305,2402,2455,2547,2584,2634,2676,2723,2761,2816,2906,2950,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,2292,2352,2468,2637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1986,2054,2089,2126,2160,2195,2261,2302,2341,2371,2410,2440,2476,2507,2541,2573,2607,2639,2672,2706,2734,2769,2837,2872,2898,2936,2968,3002,3031,3088,3120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1808,1953,2113,2159,2209,2260,2324,2366,2604,2705,2745,2792,2893,2938,2986,3034,3070,3115,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1997,2117,2239,2358,2478,2586,2806,2925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,2092,2152,2214,2274,2336,2395,2513,2567,2623,2680,2733,2791,2853,2903,2965,3018,3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,2171,2234,2294,2357,2419,2477,2588,2644,2702,2815,2873,2932,2991,3046,3092,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,2049,2203,2243,2648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,2382,2521,2650,2777,2907,3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2237,2310,2444,2481,2509,2542,2574,2605,2671,2703,2732,2763,2797,2830,2868,2931,2993,3022,3076,3111,3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,1446,1587,2036,2355,2659,2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,2472,2583,2642,2697,2752,2807,2870,2920,2975,3026,3072,3128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2349,2606,2728,2867,2997,3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2810,2844,2939,2970,3028,3061,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,2822,2884,2941,2995,3049,3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
