4,57,100,148,187,228,276,326,363,410,454,498,542,591,638,689,727,781,824,870,920,971,1021,1075,1130,1245,1306,1360,1575,1679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,79,117,1112,1304,1355,1808,1862,1953,2006,2113,2159,2209,2260,2324,2366,2467,2517,2604,2705,2745,2792,2893,2938,2986,3034,3070,3115,3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,164,253,352,442,541,641,743,848,947,1062,1178,1300,1420,1529,1643,1760,2013,2269,2400,2641,2756,2879,2999,3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,106,132,159,181,207,232,261,291,1102,1134,1169,1194,1227,1261,1295,1324,1352,1386,1418,1443,1473,1503,1535,1569,1590,1626,1652,1678,1711,1740,1767,1794,1833,1864,1897,1962,1991,2029,2059,2094,2124,2157,2192,2258,2295,2329,2362,2394,2428,2490,2525,2553,2581,2615,2649,2677,2708,2735,2771,2828,2891,2924,2957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,82,141,189,242,298,349,400,452,503,565,614,675,724,843,896,952,1074,1206,1281,1342,1542,1604,1735,1793,1867,1940,2004,2139,2221,2293,2432,2503,2569,2635,2765,2836,2899,3032,3086,3151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,93,137,177,222,438,484,528,581,626,716,770,816,860,913,958,1007,1066,1118,1173,1231,1285,1340,1399,1451,1563,1616,1722,1778,1836,1896,1950,2011,2068,2130,2188,2248,2313,2370,2431,2488,2545,2602,2660,2718,2764,2823,2880,2937,2992,3045,3090,3145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,188,212,239,260,289,338,359,386,413,431,462,486,509,538,568,590,612,644,669,695,721,752,777,804,830,856,883,911,939,969,999,1028,1058,1085,1115,1142,1181,1209,1243,1278,1373,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,245,370,620,1344,1657,1817,1978,2147,2793,2951,3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,136,224,273,320,409,453,497,545,593,639,692,787,837,885,936,984,1040,1091,1149,1213,1272,1330,1389,1442,1552,1662,1717,1774,1837,1899,1957,2023,2081,2140,2205,2267,2333,2388,2451,2566,2682,2795,3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,218,226,258,275,307,316,328,353,365,396,402,415,435,441,458,468,485,488,504,508,529,530,555,561,582,583,603,606,630,655,661,678,696,699,749,774,796,799,819,845,865,892,894,917,942,967,996,997,1017,1046,1048,1072,1099,1101,1129,1157,1160,1215,1220,1244,1262,1277,1283,1302,1318,1331,1338,1363,1392,1427,1445,1453,1471,1499,1515,1523,1538,1568,1579,1591,1623,1633,1644,1663,1675,1688,1718,1731,1743,1773,1785,1801,1820,1847,1863,1876,1893,1912,1923,1939,1952,1966,1981,1994,2016,2033,2047,2055,2072,2088,2120,2134,2151,2168,2183,2198,2215,2224,2256,2281,2289,2304,2325,2346,2353,2380,2407,2411,2424,2441,2463,2470,2484,2501,2530,2559,2576,2582,2594,2614,2640,2654,2670,2691,2696,2710,2747,2751,2762,2779,2805,2809,2821,2843,2869,2871,2881,2897,2929,2940,2959,2981,2983,2994,3035,3037,3083,3085,3139,3140
192,241,297,321,368,1308,1337,1374,1466,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
